,KitchenSinkWater,timestamp
18,PRESENT,2022-02-13 18:37:31.005000+01:00
0,NOT_PRESENT,2022-02-15 11:11:16.708000+01:00
1,PRESENT,2022-02-15 17:01:09.962000+01:00
2,NOT_PRESENT,2022-02-15 18:27:29.314000+01:00
3,PRESENT,2022-02-15 18:47:43.552000+01:00
0,PRESENT,2022-02-16 12:03:03.182000+01:00
1,NOT_PRESENT,2022-02-16 14:23:14.760000+01:00
0,NOT_PRESENT,2022-02-17 18:12:56.920000+01:00
1,PRESENT,2022-02-17 18:25:57.194000+01:00
0,NOT_PRESENT,2022-02-18 00:48:10.275000+01:00
1,PRESENT,2022-02-18 19:03:56.778000+01:00
0,PRESENT,2022-02-19 08:30:37.423000+01:00
1,NOT_PRESENT,2022-02-19 16:08:52.754000+01:00
2,PRESENT,2022-02-19 17:11:40.631000+01:00
0,PRESENT,2022-02-20 12:46:24.729000+01:00
1,NOT_PRESENT,2022-02-20 14:16:59.119000+01:00
2,PRESENT,2022-02-20 14:52:57.864000+01:00
3,NOT_PRESENT,2022-02-20 14:53:07.994000+01:00
4,PRESENT,2022-02-20 14:53:45.472000+01:00
0,PRESENT,2022-02-21 19:07:38.347000+01:00
0,PRESENT,2022-02-23 13:01:53.338000+01:00
0,PRESENT,2022-02-24 14:44:11.555000+01:00
1,NOT_PRESENT,2022-02-24 15:03:38.752000+01:00
2,PRESENT,2022-02-24 16:00:30.618000+01:00
3,NOT_PRESENT,2022-02-24 16:41:33.296000+01:00
4,PRESENT,2022-02-24 17:01:32.773000+01:00
5,NOT_PRESENT,2022-02-24 17:19:27.991000+01:00
6,PRESENT,2022-02-24 17:32:19.575000+01:00
0,NOT_PRESENT,2022-02-25 17:45:53.252000+01:00
1,PRESENT,2022-02-25 17:49:51.322000+01:00
0,PRESENT,2022-02-28 17:08:31.382000+01:00
0,PRESENT,2022-03-01 15:16:30.579000+01:00
0,NOT_PRESENT,2022-03-01 20:15:04.854000+01:00
1,PRESENT,2022-03-02 13:22:30.445000+01:00
2,NOT_PRESENT,2022-03-02 13:22:34.589000+01:00
3,PRESENT,2022-03-02 13:52:51.886000+01:00
4,NOT_PRESENT,2022-03-02 14:14:12.892000+01:00
5,PRESENT,2022-03-02 15:08:47.314000+01:00
6,NOT_PRESENT,2022-03-02 15:40:41.824000+01:00
7,PRESENT,2022-03-02 16:09:39.646000+01:00
8,NOT_PRESENT,2022-03-02 16:24:31.558000+01:00
9,PRESENT,2022-03-02 16:36:41.029000+01:00
10,NOT_PRESENT,2022-03-02 17:55:20.049000+01:00
11,PRESENT,2022-03-02 18:10:31.235000+01:00
0,NOT_PRESENT,2022-03-02 20:42:33.652000+01:00
0,PRESENT,2022-03-06 09:17:24.189000+01:00
0,NOT_PRESENT,2022-03-09 03:40:22.417000+01:00
1,PRESENT,2022-03-09 07:30:34.165000+01:00
2,NOT_PRESENT,2022-03-09 09:23:30.816000+01:00
3,PRESENT,2022-03-09 11:32:50.792000+01:00
4,NOT_PRESENT,2022-03-09 12:33:47.676000+01:00
5,PRESENT,2022-03-09 15:04:26.309000+01:00
6,PRESENT,2022-03-09 18:53:46.315000+01:00
0,NOT_PRESENT,2022-03-10 10:38:30.756000+01:00
1,NOT_PRESENT,2022-03-10 15:58:08.819000+01:00
0,PRESENT,2022-03-12 08:18:17.459000+01:00
1,NOT_PRESENT,2022-03-12 08:18:19.611000+01:00
2,PRESENT,2022-03-12 09:41:58.072000+01:00
3,NOT_PRESENT,2022-03-12 09:42:03.821000+01:00
4,PRESENT,2022-03-12 09:42:28.796000+01:00
