,0BRoom,timestamp
367,17.75,2022-01-11 21:05:22.232000+01:00
368,17.6,2022-01-11 21:20:58.632000+01:00
369,17.75,2022-01-11 21:36:35.006000+01:00
370,17.65,2022-01-11 21:52:11.240000+01:00
371,17.6,2022-01-11 22:07:47.453000+01:00
372,17.8,2022-01-11 22:23:23.810000+01:00
373,17.6,2022-01-11 22:39:00.210000+01:00
374,17.65,2022-01-11 22:54:36.444000+01:00
375,17.65,2022-01-11 23:10:12.573000+01:00
376,17.9,2022-01-11 23:25:48.104000+01:00
377,18.0,2022-01-11 23:41:23.040000+01:00
378,18.15,2022-01-11 23:56:57.656000+01:00
379,18.25,2022-01-12 00:12:31.643000+01:00
380,18.4,2022-01-12 00:28:05.249000+01:00
381,18.5,2022-01-12 00:43:38.386000+01:00
382,18.6,2022-01-12 00:59:11.333000+01:00
383,18.7,2022-01-12 01:14:43.767000+01:00
384,18.8,2022-01-12 01:30:15.368000+01:00
385,18.9,2022-01-12 01:45:46.652000+01:00
386,19.0,2022-01-12 02:01:17.382000+01:00
387,19.1,2022-01-12 02:16:47.891000+01:00
388,19.15,2022-01-12 02:32:18.106000+01:00
389,19.15,2022-01-12 02:47:48.172000+01:00
390,19.25,2022-01-12 03:03:17.915000+01:00
391,19.25,2022-01-12 03:18:47.125000+01:00
392,19.4,2022-01-12 03:34:15.956000+01:00
393,19.45,2022-01-12 03:49:44.594000+01:00
394,19.55,2022-01-12 04:05:13.046000+01:00
395,19.55,2022-01-12 04:20:41.388000+01:00
396,19.55,2022-01-12 04:36:09.581000+01:00
397,19.65,2022-01-12 04:51:37.558000+01:00
398,19.7,2022-01-12 05:07:05.283000+01:00
399,19.7,2022-01-12 05:22:32.621000+01:00
400,19.8,2022-01-12 05:37:59.872000+01:00
401,19.85,2022-01-12 05:53:27.037000+01:00
402,19.9,2022-01-12 06:08:54.126000+01:00
403,19.95,2022-01-12 06:24:21.249000+01:00
404,20.0,2022-01-12 06:39:48.176000+01:00
405,20.05,2022-01-12 06:55:14.644000+01:00
406,20.1,2022-01-12 07:10:40.951000+01:00
407,20.25,2022-01-12 07:26:06.884000+01:00
408,20.3,2022-01-12 07:41:32.444000+01:00
409,20.35,2022-01-12 07:56:57.747000+01:00
410,20.45,2022-01-12 08:12:22.753000+01:00
411,20.5,2022-01-12 08:27:47.915000+01:00
412,20.55,2022-01-12 08:43:12.922000+01:00
413,20.6,2022-01-12 08:58:37.508000+01:00
414,20.6,2022-01-12 09:14:02.370000+01:00
