,1Entrance1,timestamp
463,22.1,2022-01-13 03:04:10.157000+01:00
464,22.25,2022-01-13 03:20:45.653000+01:00
465,22.3,2022-01-13 03:37:20.893000+01:00
466,22.3,2022-01-13 03:51:53.097000+01:00
467,22.4,2022-01-13 04:08:27.468000+01:00
468,22.45,2022-01-13 04:25:01.863000+01:00
469,22.5,2022-01-13 04:41:36.049000+01:00
470,22.65,2022-01-13 04:56:07.285000+01:00
471,22.65,2022-01-13 05:12:40.657000+01:00
472,22.7,2022-01-13 05:29:13.995000+01:00
473,22.8,2022-01-13 05:45:47.485000+01:00
474,22.95,2022-01-13 06:02:20.581000+01:00
475,22.85,2022-01-13 06:18:53.500000+01:00
476,22.85,2022-01-13 06:35:25.928000+01:00
477,22.8,2022-01-13 06:51:58.395000+01:00
478,23.25,2022-01-13 07:08:30.618000+01:00
479,23.35,2022-01-13 07:25:02.009000+01:00
480,23.6,2022-01-13 07:39:30.310000+01:00
481,23.6,2022-01-13 07:56:00.298000+01:00
482,23.75,2022-01-13 08:12:30.554000+01:00
483,23.9,2022-01-13 08:29:00.417000+01:00
484,24.15,2022-01-13 08:45:29.193000+01:00
485,24.25,2022-01-13 09:01:57.089000+01:00
486,24.3,2022-01-13 09:18:24.950000+01:00
487,24.4,2022-01-13 09:34:52.709000+01:00
488,24.35,2022-01-13 09:51:20.586000+01:00
489,24.35,2022-01-13 10:07:48.604000+01:00
490,24.35,2022-01-13 10:24:16.691000+01:00
491,24.45,2022-01-13 10:40:44.560000+01:00
492,24.3,2022-01-13 10:57:12.574000+01:00
493,24.35,2022-01-13 11:13:40.476000+01:00
494,24.35,2022-01-13 11:30:08.331000+01:00
495,24.3,2022-01-13 11:46:36.524000+01:00
496,24.4,2022-01-13 12:03:04.334000+01:00
497,24.5,2022-01-13 12:19:31.848000+01:00
498,24.35,2022-01-13 12:35:59.538000+01:00
499,24.35,2022-01-13 12:52:27.427000+01:00
500,24.4,2022-01-13 13:08:55.121000+01:00
501,24.5,2022-01-13 13:25:22.573000+01:00
502,24.5,2022-01-13 13:41:49.862000+01:00
503,24.45,2022-01-13 13:58:17.418000+01:00
504,24.5,2022-01-13 14:14:44.931000+01:00
505,24.5,2022-01-13 14:31:12.424000+01:00
506,24.55,2022-01-13 14:47:40+01:00
507,24.55,2022-01-13 15:04:07.469000+01:00
508,24.55,2022-01-13 15:20:34.877000+01:00
509,24.45,2022-01-13 15:37:02.511000+01:00
510,24.45,2022-01-13 15:53:30.139000+01:00
511,24.5,2022-01-13 16:00:13.794000+01:00
512,24.55,2022-01-13 16:09:58.235000+01:00
513,24.85,2022-01-13 16:26:25.959000+01:00
514,24.55,2022-01-13 16:42:54.098000+01:00
515,24.45,2022-01-13 16:59:22.341000+01:00
516,24.45,2022-01-13 17:15:50.629000+01:00
517,24.45,2022-01-13 17:30:16.493000+01:00
518,24.6,2022-01-13 17:46:44.109000+01:00
519,24.55,2022-01-13 18:03:11.560000+01:00
520,24.45,2022-01-13 18:19:38.951000+01:00
521,24.55,2022-01-13 18:36:06.809000+01:00
522,24.55,2022-01-13 18:52:34.123000+01:00
523,24.5,2022-01-13 19:09:01.502000+01:00
524,24.5,2022-01-13 19:25:28.892000+01:00
525,24.4,2022-01-13 19:41:56.425000+01:00
526,24.45,2022-01-13 19:58:23.965000+01:00
527,24.35,2022-01-13 20:14:51.545000+01:00
528,24.35,2022-01-13 20:31:19.285000+01:00
529,24.3,2022-01-13 20:47:47.255000+01:00
530,24.4,2022-01-13 21:04:15.321000+01:00
531,24.25,2022-01-13 21:20:43.810000+01:00
532,24.2,2022-01-13 21:37:12.404000+01:00
533,24.2,2022-01-13 21:53:40.956000+01:00
534,24.05,2022-01-13 22:10:09.895000+01:00
535,24.0,2022-01-13 22:26:38.982000+01:00
