,1GuestRoom,timestamp
441,18.15,2022-01-12 12:58:57.560000+01:00
442,18.15,2022-01-12 13:15:21.977000+01:00
443,18.15,2022-01-12 13:29:40.340000+01:00
444,18.15,2022-01-12 13:46:06.186000+01:00
445,18.15,2022-01-12 14:00:24.958000+01:00
446,18.1,2022-01-12 14:16:51.295000+01:00
447,18.1,2022-01-12 14:31:09.683000+01:00
448,18.1,2022-01-12 14:47:35.366000+01:00
449,18.15,2022-01-12 15:01:53.881000+01:00
450,18.15,2022-01-12 15:18:19.648000+01:00
451,18.15,2022-01-12 15:32:38.012000+01:00
452,18.15,2022-01-12 15:49:03.802000+01:00
453,18.15,2022-01-12 16:03:23.735000+01:00
454,18.1,2022-01-12 16:19:48.635000+01:00
455,18.45,2022-01-12 16:34:06.710000+01:00
456,18.7,2022-01-12 16:50:31.302000+01:00
457,18.95,2022-01-12 17:06:53.999000+01:00
458,19.15,2022-01-12 17:23:16.904000+01:00
459,19.2,2022-01-12 17:37:32.255000+01:00
460,19.35,2022-01-12 17:53:53.763000+01:00
461,19.5,2022-01-12 18:10:15.904000+01:00
462,19.6,2022-01-12 18:26:37.098000+01:00
463,19.75,2022-01-12 18:42:57.432000+01:00
464,19.7,2022-01-12 18:59:18.139000+01:00
465,19.75,2022-01-12 19:15:38.771000+01:00
466,19.75,2022-01-12 19:31:59.324000+01:00
467,19.65,2022-01-12 19:48:20.114000+01:00
468,19.95,2022-01-12 20:04:40.781000+01:00
469,19.85,2022-01-12 20:21:01.004000+01:00
470,19.8,2022-01-12 20:37:21.772000+01:00
471,19.8,2022-01-12 20:53:42.473000+01:00
472,19.85,2022-01-12 21:10:03.502000+01:00
473,19.95,2022-01-12 21:26:23.237000+01:00
474,19.85,2022-01-12 21:42:43.957000+01:00
475,19.85,2022-01-12 21:59:04.017000+01:00
476,19.75,2022-01-12 22:15:24.567000+01:00
477,19.75,2022-01-12 22:31:45.617000+01:00
478,19.7,2022-01-12 22:48:06.418000+01:00
479,19.7,2022-01-12 23:04:27.336000+01:00
480,19.7,2022-01-12 23:20:48.271000+01:00
481,19.75,2022-01-12 23:37:09.319000+01:00
482,19.7,2022-01-12 23:53:30.234000+01:00
483,19.65,2022-01-13 00:09:53.002000+01:00
484,19.65,2022-01-13 00:26:13.991000+01:00
485,19.55,2022-01-13 00:42:33.585000+01:00
486,19.5,2022-01-13 00:58:55.377000+01:00
487,19.55,2022-01-13 01:15:17.136000+01:00
488,19.5,2022-01-13 01:31:38.887000+01:00
489,19.5,2022-01-13 01:48:01.302000+01:00
490,19.45,2022-01-13 02:04:24.657000+01:00
491,19.4,2022-01-13 02:20:45.015000+01:00
492,19.4,2022-01-13 02:37:06.350000+01:00
493,19.45,2022-01-13 02:53:28.458000+01:00
494,19.55,2022-01-13 03:09:51.081000+01:00
495,19.55,2022-01-13 03:42:33.197000+01:00
496,19.6,2022-01-13 03:58:55.364000+01:00
497,19.65,2022-01-13 04:15:15.496000+01:00
498,19.65,2022-01-13 04:31:34.468000+01:00
499,19.7,2022-01-13 04:47:57.523000+01:00
500,19.65,2022-01-13 05:04:18.186000+01:00
501,19.7,2022-01-13 05:20:38.685000+01:00
502,19.65,2022-01-13 05:36:59.370000+01:00
503,19.65,2022-01-13 05:53:18.611000+01:00
504,19.75,2022-01-13 06:09:38.798000+01:00
505,19.7,2022-01-13 06:25:59.567000+01:00
506,19.7,2022-01-13 06:42:20.679000+01:00
507,19.7,2022-01-13 06:56:35.126000+01:00
508,19.7,2022-01-13 07:12:55.936000+01:00
509,19.65,2022-01-13 07:29:16.971000+01:00
510,19.55,2022-01-13 07:45:38.085000+01:00
511,19.5,2022-01-13 08:01:59.498000+01:00
512,19.45,2022-01-13 08:16:14.363000+01:00
513,19.35,2022-01-13 08:32:36.120000+01:00
