"WindPower";"PVPower"
"R1078";415.992;0
"R1079";404.275;0
"R1080";402.774;0
"R1081";418.317;0
"R1082";453.854;0
"R1083";459.929;0
"R1084";417.242;0
"R1085";383.334;0
"R1086";381.692;0
"R1087";376.102;0
"R1088";329;435.473
"R1089";237.578;670.855
"R1090";186.079;770.24
"R1091";202.519;797.883
"R1092";191.717;784.02
"R1093";184.82;729.82
"R1094";235.247;614.689
"R1095";376.304;392.788
"R1096";604.954;86.845
"R1097";710.086;0
"R1098";758.499;0
"R1099";827.901;0
"R1100";933.22;0
"R1101";897.116;0
"R1102";701.234;0
"R1103";544.041;0
"R1104";457.885;0
"R1105";413.664;0
"R1106";363.413;0
"R1107";322.71;0
"R1108";291.598;0
"R1109";270.836;0
"R1110";322.2;0
"R1111";320.362;12.055
"R1112";200.987;512.099
"R1113";42.302;738.831
"R1114";12.72;822.825
"R1115";48.765;840.215
"R1116";142.768;816.91
"R1117";258.277;745.842
"R1118";299.811;574.8
"R1119";353.754;246.696
"R1120";518.041;42.656
"R1121";650.279;0
"R1122";638.942;0
"R1123";664.215;0
"R1124";863.805;0
"R1125";959.095;0
"R1126";1210.658;0
"R1127";1423.845;0
"R1128";1487.775;0
"R1129";1504.811;0
"R1130";1521.402;0
"R1131";1510.119;0
"R1132";1456.609;0
"R1133";1406.5;0
"R1134";1360.548;0
"R1135";1307.413;0
"R1136";1242.957;4.597
"R1137";1197.27;20.445
"R1138";1209.313;46.303
"R1139";1250.624;77.23
"R1140";1343.454;122.044
"R1141";1336.315;160.632
"R1142";1265.926;189.664
"R1143";1129.64;119.089
"R1144";981.352;14.9
"R1145";832.478;0
"R1146";756.013;0
"R1147";682.306;0
"R1148";636.293;0
"R1149";560.239;0
"R1150";465.808;0
"R1151";413.593;0
"R1152";337.061;0
"R1153";318.013;0
"R1154";281.44;0
"R1155";228.251;0
"R1156";203.544;0
"R1157";207.14;0
"R1158";193.736;0
"R1159";157.411;0
"R1160";108.095;17.031
"R1161";58.507;48.87
"R1162";22.53;123.868
"R1163";6.216;145.004
"R1164";12.347;198.829
"R1165";25.505;166.423
"R1166";28.993;102.279
"R1167";18.022;39.939
"R1168";20.701;7.703
"R1169";92.063;0
"R1170";212.93;0
"R1171";289.537;0
"R1172";309.153;0
"R1173";268.94;0
"R1174";253.331;0
"R1175";227.714;0
"R1176";197.426;0
"R1177";177.445;0
"R1178";160.244;0
"R1179";140.925;0
"R1180";129.036;0
"R1181";116.308;0
"R1182";117.33;0
"R1183";103.558;0
"R1184";82.402;43.319
"R1185";56.704;89.177
"R1186";28.553;146.872
"R1187";27.95;189.131
"R1188";50.313;197.959
"R1189";87.156;174.547
"R1190";129.157;115.341
"R1191";187.144;56.146
"R1192";341.015;8.266
"R1193";450.409;0
"R1194";420.033;0
"R1195";606.309;0
"R1196";716.017;0
"R1197";774.305;0
"R1198";938.994;0
"R1199";1112.88;0
"R1200";1252.119;0
"R1201";1367.81;0
"R1202";1455.167;0
"R1203";1530.592;0
"R1204";1601.471;0
"R1205";1680.581;0
"R1206";1733.836;0
"R1207";1746.096;0
"R1208";1661.874;0.178
"R1209";1455.955;7.061
"R1210";1182.993;24.202
"R1211";889.601;38.965
"R1212";647.261;49.265
"R1213";476.33;35.66
"R1214";357.24;17.736
"R1215";315.743;9.072
"R1216";331.692;0.144
"R1217";361.088;0
"R1218";370.498;0
"R1219";358.511;0
"R1220";341.369;0
"R1221";338.651;0
"R1222";350.231;0
"R1223";308.252;0
"R1224";297.73;0
"R1225";292.788;0
"R1226";283.581;0
"R1227";280.091;0
"R1228";239.78;0
"R1229";278.37;0
"R1230";274.895;0
"R1231";237.699;0.46
"R1232";199.246;101.873
"R1233";265.937;256.524
"R1234";234.031;471.897
"R1235";271.569;342.196
"R1236";317.479;210.677
"R1237";346.966;115.39
"R1238";354.239;84.364
"R1239";401.704;36.349
"R1240";439.645;2.911
"R1241";465.888;0
"R1242";470.854;0
"R1243";439.661;0
"R1244";425.307;0
"R1245";383.43;0
"R1246";312.169;0
"R1247";276.827;0
"R1248";276.132;0
"R1249";274.388;0
"R1250";269.76;0
"R1251";254.068;0
"R1252";251.476;0
"R1253";216.363;0
"R1254";192.387;0
"R1255";180.165;15.942
"R1256";140.942;332.886
"R1257";91.851;539.39
"R1258";28.669;623.914
"R1259";10.557;626.733
"R1260";9.195;630.814
"R1261";9.812;557.532
"R1262";10.954;493.145
"R1263";9.122;301.687
"R1264";9.768;70.243
"R1265";15.038;0
"R1266";13.625;0
"R1267";10.99;0
"R1268";12.681;0
"R1269";21.67;0
"R1270";44.861;0
"R1271";99.394;0
"R1272";207.51;0
"R1273";323.074;0
"R1274";388.036;0
"R1275";448.289;0
"R1276";420.986;0
"R1277";428.853;0
"R1278";409.296;0
