"Year";"IsDayBin";"Month";"WindSpeed";"IrrDirect";"IrrDiffuse";"Temperature";"Percipitation";"SnowFlow";"SnowMass";"AirDensity";"RadSurface";"RadTop";"CloudCover"
"R170";2016;Night;1;5.034;0;0;-14.841;0.048;0.048;16.642;1.314;0;0;0.722
"R171";2016;Night;1;4.904;0;0;-14.598;0.043;0.043;16.685;1.314;0;0;0.727
"R172";2016;Night;1;5.03;0;0;-14.482;0.04;0.04;16.726;1.313;0;0;0.694
"R173";2016;Night;1;5.15;0;0;-14.494;0.034;0.034;16.761;1.312;0;0;0.684
"R174";2016;Night;1;5.431;0;0;-14.486;0.039;0.039;16.795;1.311;0;0;0.713
"R175";2016;Night;1;5.534;0;0;-14.301;0.046;0.046;16.834;1.31;0;0;0.771
"R176";2016;Night;1;5.615;0;0;-13.968;0.052;0.052;16.883;1.308;0;0;0.818
"R177";2016;Day;1;5.67;0.005;0.003;-13.684;0.05;0.05;16.932;1.306;4.813;27.537;0.848
"R178";2016;Day;1;5.709;0.014;0.017;-12.904;0.041;0.041;16.975;1.304;27.425;117.468;0.916
"R179";2016;Day;1;5.485;0.021;0.029;-11.901;0.028;0.028;17.001;1.302;46.99;173.644;0.96
"R180";2016;Day;1;5.436;0.026;0.033;-11.271;0.019;0.019;17.013;1.299;54.023;186.397;0.964
"R181";2016;Day;1;5.434;0.023;0.027;-11.002;0.014;0.014;17.018;1.297;44.077;154.855;0.96
"R182";2016;Day;1;5.679;0.013;0.012;-11.171;0.013;0.013;17.025;1.297;20.269;81.206;0.955
"R183";2016;Day;1;5.929;0.001;0;-11.601;0.015;0.015;17.037;1.298;0.759;4.487;0.953
"R184";2016;Night;1;5.864;0;0;-11.855;0.02;0.02;17.054;1.299;0;0;0.948
"R185";2016;Night;1;5.773;0;0;-12.002;0.024;0.024;17.076;1.3;0;0;0.93
"R186";2016;Night;1;5.711;0;0;-12.091;0.026;0.026;17.101;1.301;0;0;0.936
"R187";2016;Night;1;5.598;0;0;-12.197;0.027;0.027;17.127;1.302;0;0;0.946
"R188";2016;Night;1;5.6;0;0;-12.382;0.028;0.028;17.154;1.303;0;0;0.954
"R189";2016;Night;1;5.662;0;0;-12.6;0.033;0.033;17.184;1.304;0;0;0.944
"R190";2016;Night;1;5.488;0;0;-12.652;0.045;0.045;17.224;1.304;0;0;0.934
"R191";2016;Night;1;5.314;0;0;-12.65;0.055;0.055;17.277;1.305;0;0;0.951
"R192";2016;Night;1;5.485;0;0;-12.531;0.063;0.063;17.338;1.305;0;0;0.966
"R193";2016;Night;1;5.623;0;0;-12.427;0.069;0.069;17.406;1.304;0;0;0.965
"R194";2016;Night;1;5.517;0;0;-12.401;0.084;0.084;17.484;1.304;0;0;0.966
"R195";2016;Night;1;5.44;0;0;-12.478;0.105;0.105;17.582;1.305;0;0;0.963
"R196";2016;Night;1;5.621;0;0;-12.48;0.122;0.122;17.699;1.305;0;0;0.962
"R197";2016;Night;1;5.794;0;0;-12.321;0.133;0.133;17.828;1.304;0;0;0.95
"R198";2016;Night;1;5.899;0;0;-12.169;0.137;0.137;17.965;1.304;0;0;0.949
"R199";2016;Night;1;6.007;0;0;-12.057;0.132;0.132;18.099;1.304;0;0;0.956
"R200";2016;Night;1;6.074;0;0;-11.939;0.119;0.119;18.223;1.304;0;0;0.965
"R201";2016;Day;1;6.169;0.002;0.002;-11.788;0.108;0.108;18.334;1.304;3.868;29.707;0.969
"R202";2016;Day;1;5.928;0.006;0.013;-11.33;0.098;0.098;18.429;1.304;20.967;120.598;0.956
"R203";2016;Day;1;5.637;0.008;0.022;-10.942;0.096;0.096;18.515;1.303;35.088;176.831;0.927
"R204";2016;Day;1;5.466;0.009;0.026;-10.722;0.092;0.092;18.597;1.302;40.189;189.584;0.908
"R205";2016;Day;1;5.373;0.009;0.022;-10.655;0.088;0.088;18.676;1.302;34.759;158.042;0.82
"R206";2016;Day;1;5.522;0.005;0.009;-10.787;0.089;0.089;18.757;1.302;15.016;84.331;0.728
